ID_Kandidat,Nama,Umur,Kota_Asal,Pendidikan,Skor_Pendidikan,Pengalaman_Tahun,Tes_Teknis,Wawancara,Soft_Skills,Kedisiplinan
KRY-001,Andi Pratama,34,Jakarta,S2,4,10,63,49,57,94
KRY-002,Budi Wijaya,30,Palembang,S1,3,6,63,74,63,64
KRY-003,Citra Santoso,31,Denpasar,S1,3,7,75,64,73,60
KRY-004,Dian Kurniawan,29,Yogyakarta,S2,4,6,58,81,60,77
KRY-005,Eka Setiawan,24,Makassar,S1,3,1,69,63,57,81
KRY-006,Fani Hidayat,29,Denpasar,S1,3,6,81,70,71,77
KRY-007,Gilang Nugroho,27,Jakarta,S1,3,5,49,77,71,60
KRY-008,Hana Rahayu,33,Palembang,S2,4,10,74,81,61,77
KRY-009,Irfan Saputra,23,Jakarta,D3,2,1,64,58,61,64
KRY-010,Joko Susanto,24,Surabaya,S1,3,2,75,68,71,84
KRY-011,Kartika Wibowo,32,Medan,S2,4,9,58,66,49,81
KRY-012,Lina Hartono,28,Yogyakarta,S1,3,5,52,64,49,68
KRY-013,Mahmud Handoko,25,Pekanbaru,S1,3,2,72,91,58,72
KRY-014,Nadia Purnomo,25,Medan,S1,3,1,70,76,65,67
KRY-015,Oscar Gunawan,27,Pekanbaru,S1,3,4,69,58,72,77
KRY-016,Putri Suryadi,28,Palembang,S1,3,4,70,82,87,87
KRY-017,Qori Hakim,28,Semarang,S2,4,6,64,95,79,68
KRY-018,Rudi Firmansyah,29,Makassar,S1,3,5,69,83,65,83
KRY-019,Sari Kusuma,24,Bandung,D3,2,1,65,55,67,72
KRY-020,Teguh Rahim,27,Medan,S1,3,5,59,66,54,70
KRY-021,Umar Pratama,31,Yogyakarta,S2,4,9,92,85,67,76
KRY-022,Vina Wijaya,29,Jakarta,S2,4,7,77,64,64,67
KRY-023,Wahyu Santoso,25,Yogyakarta,D3,2,1,48,76,72,72
KRY-024,Xena Kurniawan,24,Palembang,S1,3,1,74,80,57,66
KRY-025,Yusuf Setiawan,29,Pekanbaru,S1,3,7,56,61,74,97
KRY-026,Zara Hidayat,22,Jakarta,SMA/SMK,1,0,65,71,87,78
KRY-027,Agus Nugroho,23,Bandung,S1,3,1,79,45,66,71
KRY-028,Bella Rahayu,28,Bandung,D3,2,4,52,60,73,80
KRY-029,Cahyo Saputra,34,Medan,S2,4,10,82,69,76,76
KRY-030,Dewi Susanto,30,Palembang,S1,3,7,71,58,62,75
KRY-031,Edo Wibowo,27,Semarang,S1,3,3,76,89,70,84
KRY-032,Fitri Hartono,24,Palembang,SMA/SMK,1,2,77,56,68,85
KRY-033,Guntur Handoko,23,Pekanbaru,SMA/SMK,1,0,54,67,69,72
KRY-034,Hesti Purnomo,25,Yogyakarta,S1,3,3,58,73,57,72
KRY-035,Ivan Gunawan,25,Bandung,S1,3,3,57,87,68,75
KRY-036,Julia Suryadi,27,Yogyakarta,S2,4,3,63,56,74,60
KRY-037,Kevin Hakim,26,Yogyakarta,D3,2,3,61,84,86,62
KRY-038,Laras Firmansyah,29,Yogyakarta,S1,3,5,70,72,80,91
KRY-039,Miko Kusuma,26,Bandung,S1,3,2,70,61,95,94
KRY-040,Nina Rahim,32,Denpasar,S2,4,9,81,77,58,75
KRY-041,Otto Pratama,26,Surabaya,S2,4,4,72,74,79,83
KRY-042,Pipit Wijaya,25,Pekanbaru,S2,4,3,87,65,70,81
KRY-043,Rama Santoso,29,Denpasar,S2,4,6,69,72,96,100
KRY-044,Sinta Kurniawan,31,Pekanbaru,S2,4,9,100,67,57,89
KRY-045,Toni Setiawan,24,Jakarta,S1,3,1,73,73,57,76
KRY-046,Ulfa Hidayat,27,Palembang,S1,3,4,57,79,60,68
KRY-047,Vino Nugroho,28,Palembang,S2,4,4,60,89,40,61
KRY-048,Widi Rahayu,24,Makassar,S1,3,1,72,58,61,80
KRY-049,Xander Saputra,27,Palembang,SMA/SMK,1,3,54,95,58,70
KRY-050,Yeni Susanto,29,Bandung,S1,3,7,74,50,69,63
KRY-051,Zaki Wibowo,29,Semarang,S1,3,7,72,70,72,71
KRY-052,Alya Hartono,28,Medan,S1,3,6,66,78,92,67
